ID,O_Q63,O_Q80,O_Q91,O_Q92
2321,Trump and his cronies think they're the only ones fit to run everything. That commie one party to rule all will never happen in this country.,Not any real surprise. I've known Trump is a tax cheat and crook for many years.,,
2322,Health care,Because he probably gave enough money away to charities.  Trump has top notch financial advisors.  They would be able to instruct the best way to not have to pay taxes on already taxed money.,,
2325,He's a moderate who's not a socialist.,I think its proof our tax codes (state and federal) need some major overhauling (by a president who's not Trump) so some of these loopholes are closed and so billionaires like Trump pay more taxes.,,
2334,There is no reason,I don?t see how it?s anyone?s business,,Balloon Decoration
2335,there is no good reason to support Biden,I believe it was a headline that didn't prove out if you read the article. Also he didn't break the law. All these holier than thou people who are complaining aren't about to pay anymore tax themselves then they have to.,,
2338,Donald Trump is the Antichrist!,"I've worked for 18 years as a retail manager making just barely 34,000 a year, and I pay three times that in taxes every year. I shower every morning in a bathroom where parts of my ceiling is falling down, but I don't make enough money to even think about getting it fixed. And this creature has lived in luxury for his whole life, never once having to worry about money, and plotting this huge, elaborate scam to avoid paying his taxes? I'd have to say I'm a little resentful about that.",,
2341,It will stop Antifa from rioting.,"I don't really care.  If he did, it tells me that he knows how to play the economic game well. Kudos to him.",,
2351,He?s not Donald Trump.,It makes me like him even less.  Plus he?s lying about it.,,
2352,He has leadership skills. Trump does not.,I was not surprised. I think that Trump is dishonest and corrupt.,,
2353,He's not TRUMP.,He should be ashamed.,,
2355,He is ethical,It?s obscene.,,
2359,TO RID THE COUNTRY OF THUMPS BULLING....WE ARE SICK OF THE CONSTANT ANGER AND LYING,HE IS DISS HONEST AND MONEY HUNGRY,,
2360,He's not Trump,It's shit show & America is losing,,
2362,None,It doesn't bother me because be didn't do anything illegal and he just took advantage of tax laws in existence.,,
2369,Positive movement,Outraged,,
2372,Saving Social security,I need proof to believe anything about anyone in politics.,,
2374,"He has more experience, and is a much more decent person. He is honest, and wants equality.","I think he is the worst president, and the a very dishonest individual.",,
2378,he's slightly better than trump (if he is not going to drop dead when he's running or as president,that was nuts. how come did that happen?,,
2382,"Because I believe that he cares about this country, he has empathy and integrity.He care about the middle class.",I was very upset when I heard this because the state that I live in the taxes are very high. I have paid taxes every year and it is more than 750 dollars.,,
2383,They both suck at doing there thing,He suck,,
2384,He is honest and has great integrity. He is not afraid to work to make AMerica a better place for the low and middle income people who basically make up this country,Trump sure knows how to scam and cheat people and the government out of a lot of things including money he should be made to pay back for his illegal actions.,,
2385,There isn't one.,Did he or his accountants commit a crime? What's the point?,,Commercial printing sales
2387,Nothing,So what,,
2389,He will bring competency and decency back to the presidency.,Disgusting and shameful. Goes way beyond the typical rich guy tax dodging.,,
2391,I honestly can?t think of any,"It?s low, but with his businesses I am confident he pays plenty of other taxes",,
2392,There is NO reason to support Biden for president,I don't trust the information or the source.,,
2404,We have to dump Trump,Fuming!!!,,
2408,He will unite the United States,Doesn?t surprise me considering what a liar and snake he is,,
2417,I can't think of any reason to support Joe Biden for president,"Since he was President and donated his Presidential salary to government agencies and charity ($800k) while de-investing from the Trump businesses, I'm surprised he paid that much.",,
2418,"I can't think of any good reason to elect Biden.  He will have a very brief honeymoon, then the protests and civil disorder will continue at the same rate.    Electing him will convince the far left that America is behind their agenda.","This is misleading.  He paid substantial taxes in the years before that.  By overpaying in past years, he didn't owe for those years.  It also shows he sacrificed great personal wealth to become president.  IF you don't count social security (which is paid back and is not really a tax) most Americans pay no income tax.",,
2422,The bizarre comedy that a Biden press conference would be,Fuck yay! Can he do my taxes He rocks Screw the IRS,,
2423,Health,Shocked and angry,,
2424,Better than trump,Not surprised,,
2428,"The United States needs to be restored in the eyes of the world and in the health of its citizens and economy.  We need to work towards healing the divisions between races and classes in our country, divisions that have been made worse by the Trump years.  Joe Biden is an experienced statesman, he is a champion of democracy and human rights.  Joe Biden can heal our country, lift us up, and move us forward even surpassing where we were before Trump began to tear down the foundations of our society and government.","I am disgusted and not surprised that he has tried to exploit our country by withholding paying taxes like the rest of us.  He is a cheat, and a crook who surrounds himself with similarly corrupt people.  His greed and consequently his enormous debt make him a national security threat.",,
2430,He isnt trump,Its aggravating,,
2433,There are no good reasons for voting for Biden.,I don't believe anything I hear in the media about President Trump.,,
2437,He's honest,I think it's disgusting and he is worthless,,
2440,"there is no reason to vote for hi, he is not capable of leading this country",I do not believe this at all this is just a media playing games,,
2446,Not happy with the way Trump is handling things,Terrible. He should not be exempt from. Paying taxes,,
2447,I am having a rough time thinking of why I want to support him.,"Everyone makes and loses money all the time.  Some times the loses affect the earnings where it changes your tax level.  It happens even to the little people like me.  It is how the system was set up for everyone.  If you are a richer person with a lot of investments, it just shows up more.We could probably look at all the people in Washington and would be shocked at their tax es.",,
2448,because biden sounds like he would be a good president. Trump down play the coronavirus and he still does.  He divides our people. He allows the police to kill blacks .He is not a good president. He think only about his self then to help our people.,It's not fair. he did not do enough to help his country.,,
2449,There is no good reason to support him.,I think the government wastes billions of dollars each year and I think I can do a better job with my money than the government.,,Financial Services
2451,He is not insane,I pay that much!!!,,
2452,"He puts protecting healthcare, especially the retired, disabled, and unemployed first; restructuring the police system around the country; and getting control on the COVID-19 pandemic.",It's dishonest.,,
2454,I can't think of any he just like all others. Once he gets into office he'll forget all his promises,It seems top me he was giving all his salary to non profit groups so it could be a write off just as with anyone else who donates money. re How many others didn't pay their fare share,,
2457,"Because Trump is an Idiot, I happen to know this because I have met him.",I already told you Trumps A Chump...,,
2463,I do not have a reason to support him because of what he stand for,I wonder if it is true and if it is true what are the circumstances behind it,,
2470,"He CAN UNITE our country and tell us the truth-unlike what trump does every day to the American ppl, he ALWAYS lies to us and Joe I know wont do that","Does NOT surprise me and its also appalling cause he is such a cheat and thinks that this is how to run a country, its just beyond me how he is still the president-sickening really!!!",,
2472,hes got experience he cares hes more calming what we need right now,hes a con man hes always been hes a cheat a con man liar,,
2474,He will be better to unite the country so we can take on racial issues and coronavirus.,Not surprised. Tax lawyers/attorneys know the loopholes and what can be legally ?written off? so corporations and business owners pay very little taxes.,,
2476,He lies a lot less and doesn't support the good old boys!,"He is a ridiculous, selfish man who only loves himself. A liar and think he is always right!",,
2478,He can do. It,No good president,,
2481,I can't think of any reason to support biden for president,I think it's remerkable the amount of tax he paid. Good fo him that he took advantage the same as everyone has the opportunity to make use of.,,
2482,none,I don't believe it.,,
2489,NONE,I THINK ITS A LIE,,
2490,Help lie income,Don?t believe the way it is presented,,
2494,There isn't any reason.  He's old and senile.  He's been in office 50 years and did nothing. He's a blithering idiot and that Harris idiot will be president and destroy our way of life.,I do not care.  The media lies.  And I just don't give a crap.  Biden lives off tax payers.  Trump doesn't take a salary.,,
2501,Character and honesty leadership,Trump is a crook,,
2505,We need to remove the unstable fascist that Trump has proven himself to be.,"I have to laugh at him calling himself the ""law and order"" president. He is either a career criminal, the worst businessman who ever lived, or a combination of the two.",,
2506,None,Fake,,
2511,I can't think of any good reason to support Joe Biden. He is a career politician and in 47 years has done nothing to improve life here in the USA.  He was part of the diabolical ACA health care plan that caused many to enter into bankruptcy due to high deductibles.  With Covid-19 wasn't the ACA considered a plan that you could get healthcare if you lose your job?  Why are people going without?,"Many businesspersons have done the same thing.  There are many reasons why someone pays no federal taxes.  I really don't care one way or another, if you went digging into others you would probably find the same information.",,
2515,There is no good reason to support him.  he only picked a woman to get votes,I don't believe it.  The IRS would be right on his tail to pay the appropriate taxes that are due,,
2518,He is not Donald Trump.,"Amused and stunned , yet I knew he was hiding them for a reason",,
2520,I would not be voting for Joe Biden because he's too old to be president,It's all lies about president Trump,,
2523,there really is no reason to support him to regaurdless he is to old and the vise president will be doing all of his work and he has already shown he is going to be a radical socialist,i mean i dont believe that this is fair being that he makes trillions of doallars each years,,
2527,I have absolutely NO reason to support Biden,I do not believe this,,
2532,not trump,if true he is getting around the law again,,
2535,"He conducts himself professionally, and is a fair person. He does not just work for the wealthy - like Trump does.","I am not surprised in the slightest. At all. As a matter of fact, I am sure that there is more information in those records which would appall people. This is why he has fought so hard to hide it - he has a lot of skeletons in his closet.",,
2540,Unite the country.  Voice of reason,Reaffirms that he is a cheater...only out for himself.,,
2541,"I do not support him, but you only gave me two choices. I refuse to vote for President Trump because he is proud! I will vote for Kristi Noem because she knew the coronavirus was exaggerated and  the only governor in our country who obeyed our constitution.",Total lying nonsense. My first job was with a newspaper. I know how much reports lie for profits from advertisements and customers.,,
2547,Joe Biden is an honest and upstanding  individual. He is not bitter and hateful like the current president.,I am not surprised because there are so many loopholes for the ultra rich to not pay their fair share of taxes while regular people are struggling to make ends meet.,,
2549,Because he is an honorable man.,I am horrified that the don has paid so little in income taxes and think that he accomplished this illegally,,Caregiver
2553,He has is a compassionate and empathic person who can relate to everyone. No matter their political beliefs. He has a plan for healthcare and getting a grip on the Corona Virus. I feel he will be able to reach across the aisle and work with the Republicans.,It's absolutely disgusting! It is quite apparent he has lied about his taxes and should be charged for tax fraud.,,
2555,He has a better understanding of America; he will put people in his cabinet that are knowledgable.,He should pay his fair share.  We should look into auditing every millionaire/billonaire...pretty sure they all pay less than the average person.,,
2556,"There is no reason to support Biden for President.  He is too old and is totally clueless as to what is best for the country.  He will play the political game, like every other President has.","I work for an accounting firm and this is totally b.s.  Anyone in this country is allowed to take allowances for certain expenses, which anyone in their right mind would do.  If they wouldn't, then they are the stupid ones. And if he has enough expenses to offset his income, more power to him.  I try to do the same thing.",,
2558,"He's out for unity, healthcare, help the lower class and help control the covid 19 crisis","I find it very suspicious, I don't trust this statement. There should be a total investigation to see if He cheated. A millionair not paying his fair share of taxes",,
2559,there IS NONE,ITS FAKE NEWS,,grocery
2561,I really can't say.,Honestly I'm apathetic about politics right now.,Self employed,
2567,None,None if our business,,
2568,NO REASON,NO REACTION,,
2610,There is NONE!!!!!,I really do not care. It doesnt matter. Our democracy is at stake.,,
2615,He is not Trump,i am not surprised.  most rich people try to avoid taxes,,
2617,He is not trump and I voted fit the idiot,I can not believe the republicans put this guy up in 2016,,
2622,He is not Donald Trump who is an embarrassment for the UNITED STATES  all over the world.,"I haven't been able to pay my taxes so far this year.  I think put in a deduction of 12,00 for my  son as a consultant and 5,00 for hair cuts.",,
2624,Because anyone is better than Trump!,I'm not 100% sure I believe it fully because it may have been obtained illegally however I don't doubt that the information is true. Our economy is designed so that the rich get richer and it's disgusting,,
2626,He has a corvette,Can he help me cause h n r block sucks,,
2629,Nothing,I don?t believe it,,
2635,Best option to allow for further organizing to push the country leftward,Fuck him.,,
2636,I love joe biden and absolutely hate trump,Very very very angry,,
2638,Not Trump,He is a crook,,
2643,To remove trump before he does more harm than he has already.,Disgusting and corrupt,,
2648,No reason exists,None of my business.,Disabled,
2656,None,That is not enough information to make a judgement call. I have no reaction to this news.,,
2662,I dont,Okay I guess,,
2672,Because anyone is better than Trump,It is totally wrong and why does he get away with it,,
2682,"I have read his platform, some of it could be life changing.","It is unreal, everyday people are struggling so much to just get by,",,
2685,Trump has made too many horrible decisions and isnt fit to lead our country to prosperity.,He is a crook,,
2686,He represents our country well,if it was done legally not a problem,,
2689,Unite America,I was very upset,,
2696,The reasons that effect me the most personally are strengthening Social Security and the support of the ACA and Medicare.,Unsurprising. Trump knows all the loopholes and has connections/influence/cronies to help him avoid paying taxes. The fact that what he's done is illegal doesn't matter to him at all--he's all about grabbing as much as he can while he can and by any means possible. He doesn't care that he's been cheating and hurting the American people--he's a charlatan.,Full-time small business owner,
2701,If he can get the jobs back from all over the world. That would be my best reason.,All rich people have tax people so they pay the least amount every year.,,
2705,I can't think of a single reason.,The New York  Times is making the story up.,,
2715,Because Trump is a useless clown,He is a liar and a crook,,
2721,BECAUSE I FEEL LIKE HE WILL BE BETTER ABLE TO DEAL WITH THE COVID CRISIS AND GET THINGS MOVING AGAIN,ITS DISGUSTING,,
2726,The left won?t riot and loot and whine if Biden is elected,If he did that legally I have no problem. In fact I would want him in charge of the economy,,
2728,I don't see any reason to support Biden for President. He lies to our faces. He says one thing and does an about face and does exactly what he said he would not do. Biden and his family have become wealthy on the back of working people. He sent our jobs to China. Now we have to work to get them back in the U.S. Biden has not done anything for the American people for 47 years. I would not reelect him if he was the only person running for the office. Joe bailed out the car manufacturers when the economy tanked the last time and did not give anything to the working class people except loss of our AAA credit rating from the world bank the loss of our jobs. Our national debit was only claiming through the roof but for Joe it was business as usual.,What Donald Trump paid in taxes in years past really does not mean anything to me. What I am really interested in is how the country is coming back from COVID. How fast we can safely reopen businesses. I want to know what Donald Trump is going to do about the leadership of China. I already know what Biden would do. He would be in bed with China on day one!,,Help desk support.
2737,"This country needs to be united, love one another and stop the corruption, lies and hate","Does not surprise me as he is a liar, cheat and corrupt",,
2743,nothing,so he has a good tax accountant.....no evidence how much money he actually made in salary.....who cares how much he paid if he didn't claim any income if his company paid for everything.,,
2746,because he is the better person,I am outraged!!!!!!!!!!!!!!!,,
2747,Donald Trump is an idiot.,"I'm not positive this is accurate, as he stated it was not in the debate. In my opinion he is not trustworthy enough to confirm or deny this announcement. If this is the case, it is criminal.",,Social Work Supervisor
2753,"There is no reason to support Biden.  He is a racist and a liar.  He has had 47 years to do something in Congress and has nothing to show for it.  He stood with Robert Byrd who was a Grand Klugel in the KKK and he voted against prison reform.  He is a weak leader with no plan, he will be run by the radical left of the democratic party.  He doesn't support police.  He and his son are totally corrupt in their dealings with Ukraine and China.  He stands for nothing and basically he is senile.  He can't talk without a teleprompter.  He can't lead the world as an American president should.  All those arguments you listed on the previous page Trump has already done and more.  Trump can make deals and get things done.  Biden is just a corrupt senile politician.","A man with his vast holdings, has a very complicated tax situation.  He took huge losses in previous years which offset other years earnings.  This news is generated by bad reporting to sensationalize and misdirect uneducated people who don't understand taxes and accounting.  Trump doesn't even take a salary as president.  It is another example of the extreme media bias against Trump and is why no one buys the NYT or watches CNN anymore.",,
2754,"he will keep ss and not destroy,it",i only can say i pay a lare amount of taxes,,
2755,The best reason to support Biden is to get back to normalcy. Reestablish our relationships with our allies.,"I believe it, this is why we need to see the tax returns of all candidates running for political offices.",,
2758,He is a decent American with leadership qualities that make him the best candidate to lead our country and make decisions for all Americans.,"I am not surprised by this, but it is truly shameful. I am positive he has committed tax crimes that he should be punished for.",,
2763,There is absolutely no reason at all to support him for any office.,It is a lie. He released his returns and paid millions in taxes.,,
2764,there is none,campaign crap,,
2768,we have to get Trump out of office and get the country back to work,you can't blame him if it was done legally,,
2769,"Joe Biden isn't a buffoon, a liar, a megalomaniac. Joe Biden believes that America can be better for ALL of its citizens, not just the rich.","I think its insane that a supposed ""millionaire"" pays less in tax dollars than the average barista at Starbucks, or any public sector worker. Donald Trump does everything he can to cheat the system and is a failed businessman.",,
2771,No good reason,Probably false,,
2774,He is a man of both compassion and integrity,Not a surprise but a disgrace,,
2775,No reason to support,I don?t believe it,,
2778,Biden is more level headed,I don't believe it.,,
2779,Trump is out of control,Need proof,,
2784,Nothing.,He is just like the rest of us,,
2786,"He is more likely to listen to those around him who are experts, even if he does not know for himself.",It's disgusting that he's paying less than people working jobs that pay less than $10/Hour.,,
2789,none,fake news,,
2794,To make sure we don?t have to endure 4 more years of Trump.Our Country cannot afford it.,Despicable,,
2796,Support of the middle class,Doesn't surprise me,,
2797,Not as chaotic,Not sure I believe it. Hard to tell what to believe.,,
2802,No reason to support at all,Means nothing,,
2806,is running mate,"he is not responsible for tax laws,his accountants took the deductions available.  i am sure there are others who also took advantage of the same laws",,
2808,HE DOES NOT HAVE THE LOUD IGNORANT MOUTH THAT TRUMP HAS,"DOES NOT SURPRISE ME, WHEN YOU HAVE MONEY LIKE HE DOES YOU CAN DO WHATEVER YOU WANT AND GET AWAY WITH IT. MONEY TALKS & ALWAYS WILL",,
2811,restat the working class,Maybe it will encourage the senate/house whoever writes these tax laws to close all tax loopholes.,,
2816,He isn't trying to take my livelihood away (social security disability). He will unite the country. He will get medical and prescription drug costs to a much better level. He will increase SS pay. He will improve the environment.,I can't wait to see this ass in an orange jumpsuit. He needs to spend the rest of his life in prison for all the criminal things he's done.,disabled,
2819,He is honest,It?s despicable,,
2820,would not support,I do not believe that is true.,,
2826,i cannot think of any reason to vote for biden,as long as he followed the law its no big deal,,
2831,"none , the man is to old and has a medical problem , he is just a puppet for AOC.","its not true, go look, he paid over 6 million dollars, who ever state this they did not read the entire tax form. THEY SHOULD LEARN HOW TO READ.",,
2832,If he dies in office there would finally be a woman president but I personally don't think it would count as she herself alone was not elected to the position.,I don't really care considering he hasn't accepted a paycheck for being president but I doubt that it's an accurate report.,disabled,
2833,He has a likeable personality,I don?t believe it,,
2834,There is no best reason to support Biden for President!!!,"Okay so his lawyers know how to find  the loop holes in the tax structure.  Wish I knew some of them.  But let's see  President Trump has NOT accepted his salary, but has donated it.  I have no negative reaction to this.",,
2835,He has walked in my shoes!  He has a passion for people.,"He is a crook through and through!  Yet, he claims he has paid millions of dollars in taxes.  What a liar!  He is dishonest!",,
2837,"Political experience, has good character, conduct and has integrity",Confirms what I thought about him being corrupt,,
2839,I would vote for anyone but TRUMP   TRUMP is a joke,No wonder he doesn't want to release returns  It is a sad thing and he owes a lot of money,,
2840,He?s honest and it?s clear he cares about other people,He?s a liar and it?s not surprising,,Bartender
2850,"He is a strong leader, he is calm, he has common sense, he cares about people","It's disgusting but not surprising. He has always been a cheat, a liar and only out for himself",,
2859,We need someone who is not owned by Russia and someone who will do what is best for the country and not just what is best for his family.,It didnt surprise me because he fpught so hard to not reveal his taxes and he is a known con artist.,,
2862,To reunite the country,"Frustrated, unsurprised",,
2867,Wants to help with Healthcare and social security,How,,
2871,for healthcare first with keeping pre-exisitng conditions and 2nd to preserve social security,"disgusting when people like my husband who earned 33,000 at most had to pay way over a thousand and he gets away with paying that.",,
2876,There is no good reason,His personel taxes - not good but it does not sound like he cheated on his taxes,,
2882,He has worked in politics his whole life and knows how to compromise. He won't bully people into doing what only he wants.,He is despicable. He uses every loophole he can find not to pay out any money for anything.,,
2885,Are none that I can thing of since voting for Trump is to vote not to have Biden personally can not stand him and his politics,Where did Biden money come from and his families money since where on the subject,,
2891,"There is no reason 8n heaven or on earth to vote for joe Biden. He?s a pedophile, liar, and in bed with the chinese",He was not in government service so his taxes don?t matter.  The public servants who are now millionaires or better need to be accountable,,
2895,To make sure Americans get the best healthcare.,Disgusting and Unfair,,
2896,He is  honest person who is very experienced. He will will be  a true leader and a President that we can be  proud of. He's the person that will Bring us back together again  instead of being so divided.,It's just terrible and shows what a cheat he is. Surely explains why he won't release his tax information. He doesn't want us to know how much debt he's in,,
2911,Restore law and order and remove a corrupt administration,anger,,
2912,He wants to protect Medicare and Social Security and keep healthcare costs down and lower drug prices.,I find that very hard to believe yet I would like to know what his tax records show and they can't be under audit for 4 whole years.,,
2913,I HAVE ABSOUTLY NO REASON TO SUPPORT BIDEN FOR PRESIDENT!,I BELIEVE THE NEWS AND WHOEVER CLAMIMED THIS IS WRONG. DONALD TRUMP IS THE BEST PRESEDENT WE HAVE HAD AND NEEDS TO STAY,,
2915,"If you believe in getting nothing done, telling lies. abortion, racial division, inequality, need I go on? You should not under any reason vote for Biden!","He has lawyers, accountants and I'm sure they do his taxes. If they find loopholes that all companies use, that is their business, If it is illegal, it will come out. If not, then not our problem.",,
2918,"He is a measured,calm leader with proven experience.",It reinforced my belief that he is not only a bad businessman but a tax cheat along with an erratic dishonest presidemt.,,
2919,I testify sanity,appalling,,
2921,"Because Trump only cares about himself and people are dying, race relations are worse than ever, etc.",It makes me sick because average Americans like me pay much more and make much less,,
2922,Because he?s more fit for president than Trump,Crazy guy,,
2924,I can think of anything.,I don't think that is the whole story. Media tends to pick and choose what to report. Sometimes they take 2 sentences and take parts of both to make one sentence that means something completely different. I don't the tax report. I really don't care if he did use the tax laws to benefit himself. Every single person on earth would do the same thing. He didn't write the tax laws now did he?,,
2926,Vote for Trump,So what,,
2935,He's the better candidate and more professional,Good lord really!?  I had to use my bonus from work to pay my taxes!,,
2936,I cannot support trump after seeing what hes done and how he has acted in office.,Shocked,,
2939,because he will put a stop to all the drastic cuts for environmental protections,the more money you make the more areas you can use as deductions. ost billionaires pay little or no taxes,,
2943,There is no reason.  At all.  None.  Zero.  Nada. Nyet.,Fake news,,
2945,He is fair and honest,that shwed how crooked and slick he is,,
2950,"there is ""NO REASON"" to support Biden after he, Obama, and the Democrat Party were complicit in trying to remove a duly elected president from office with a political coup!","your statement of Trump paying only $750 in Federal taxes is only half of the question which shows that you know nothing about business or corporations. As an individual that owns a corporation, you pay yourself a small salary and then pay tax on that like any other working stiff. Then, Trump's corporation paid ""millions of dollars"" in corporate taxes. Yes, it comes out of Trump's pocket!...so who is misleading who?....what an ignorant, misleading question!",,
2952,Presentation,pay it back,,
2954,None,Not sure,,
2958,There is no best reason,I could care less,,
2965,"He is a career politician and with what Trump has done to America, Joe Biden is who we need to get America back to the great country it has always been.","I think it makes him more pathetic than he already is, he's a money grubbing filthy disgusting old man.",Disabled,
2966,absolutely NO reason,"who cares,  Joe Biden funneled money in Delaware to avoid taxes.  We have far more important issues to be concerned - like murdering thousands of babies every year",,
2971,Nothing,Who cares,,
2983,Saving social security for the retired.,It defeats the purpose of the system. If everyone were to cheat the system like he did it would fail. It's wrong and he as our president should not be doing it.,,
2985,very good,very good,,manufacturing
2990,his personality .,it does not bother me any i think it is great if it is true. The new york times is not the most reliable paper in the world.,,
2992,I think is more for the people,thats is just all talk,,
2993,"He is honest, has past experience and Trump has got to go",It is repulsive and unacceptable.,,
2995,He?s a puppet,It?s whatever he?s a rich man he can get away with anything,,
2996,I feel he has the ability to unite the country and not just look out for himself,I feel upset that someone with all his means can find loopholes to keep his wealth.,,
3000,"i would vote for anyone besides trump.  We, as a country, cannot handle four more years being led by him.",i found it disgusting.  when he brags about his great business deals and everything he does this is what the truth is.  he is self centered and care for no one but himself and his immediate family.,,
3005,i only support trump,this is his business,,
3008,nothing,lie,,
3010,I trust him to lead the country. He served under Obama and I believe that Obama knows how to lead the country. If he trusts Joe than I trust Joe.,Shocked but not shocked at the same time. It just shows how people can get away with things.,,
3011,"Biden's plan will work for the people and community, not just for money and recognition.",He is greedy and money-hungry,,
3016,He has the same values that I have,Very disappointing,,
3018,His beliefs are what I believe in.,"Shocking, appalling, dissatisfaction",,
3027,He understands and he does not take our country not his job a joke,I think it's not okay to let a man like trump run out country just because he has money doesn't mean he can run this country money does not buy brains,,
